鱼种id,名称,分值,实际倍率,"轨迹类型（1=鱼群,2=普通鱼,3=奖金鱼,4=组合鱼,5=Boss,6=局部炸弹，7=连锁闪电，8=同类炸弹,9=宝箱鱼,10=聚宝盆）","死亡特效(1=快速游,2=小爆炸+旋转,3=中爆炸+旋转，4=大爆炸+旋转，5=大爆炸+快速游，6=只有大爆炸)",死亡特效帧间隔(1/20*n),资源名,动作帧间隔(1/20*n),音效资源名,播放百分比,转向方式(0=跟随游动方向，1=直立，2=面朝轨迹方向运动，轨迹偏转角度超过+-90度时上下镜像，3=锁定水平朝向运动，轨迹偏转角度超过+-90度时左右镜像“图片逆时针旋转90度”),显示层级（影子高度）,锁定时选择层级关系,碰撞布点信息,水晶掉落数量,掉落金币数量,"锁定准心相对偏移（X,Y)"
id,name,score,true_score,trace_type,death_effect,death_time,fish_res,action_anim,music_res,music_rate,rotate_type,show_layer,aim_layer,point_info,crystal_num,coin_num,aim_offset
100000001,橘热带鱼,2,2,1,1,4,fishid1,2,0,0,2,100,1,"30,3;8,-16;-15,-12;-33,3;-10,11;",1,2,"0,0"
100000002,小章鱼,2,2,1,1,4,fishid2,2,0,0,0,99,2,"11,6;13,-18;-35,-19;-35,7;",1,2,"0,0"
100000003,白热带鱼,3,3,1,1,4,fishid3,2,0,0,2,98,3,"4,16;25,3;17,-13;-11,-16;-28,5;",1,2,"0,0"
100000004,小乌贼,4,4,1,1,4,fishid4,2,0,0,0,97,4,"58,0;15,-15;-39,0;15,15;",1,2,"0,0"
100000005,河豚,5,5,2,1,4,fishid5,2,0,0,2,96,5,"2,-28;36,-5;19,22;-13,30;-25,-27;-39,1;",1,2,"0,0"
100000006,小丑鱼,6,6,1,1,4,fishid6,2,0,0,0,95,6,"42,0;-17,-19;-17,18;-49,0;",1,2,"0,0"
100000007,金鱼,7,7,2,1,4,fishid7,2,0,0,0,94,7,"35,5;2,-17;-13,16;-57,0;",1,2,"0,0"
100000008,狮子鱼,8,8,2,1,4,fishid8,2,0,0,0,93,8,"17,-29;21,35;-20,0;",1,2,"0,0"
100000009,小海龟,9,9,2,1,4,fishid9,2,0,0,0,92,9,"28,11;28,-11;-10,-20;-47,0;-10,21;",1,2,"0,0"
100000010,蝴蝶鱼,10,10,2,1,4,fishid10,2,0,0,0,91,10,"42,0;-22,40;-48,0;-22,-46;",1,5,"0,0"
100000011,裙摆鱼,12,12,2,1,4,fishid11,2,0,0,0,90,11,"33,18;33,-21;-29,-13;-50,0;-29,13;",1,5,"0,0"
100000012,水母,18,18,2,1,4,fishid12,2,0,0,1,89,12,"0,44;35,-6;23,-50;-25,-50;-38,-8;",1,5,"0,0"
100000013,灯笼鱼,20,20,2,1,4,fishid13,3,0,0,0,88,13,"41,0;-10,33;-49,0;-9,-30;",1,5,"0,0"
100000014,骑士钢盔鱼,20,20,2,2,4,fishid14,3,0,0,2,87,14,"30,47;29,-12;-7,-39;-60,-18;-60,48;-16,64;",1,5,"-15,0"
100000015,蓝尾鱼,2,2,1,1,4,fishid15,2,0,0,0,100,1,"34,0;-3,10;-31,0;-4,-10;",1,2,"0,0"
100000016,小黄鱼,3,3,1,1,4,fishid16,2,0,0,0,99,2,"33,0;-15,9;-38,0;-16,-10;",1,2,"0,0"
100000050,蝙蝠鱼,25,25,2,2,4,fishid50,3,fishdead_002.mp3,100,0,86,15,"47,0;-36,69;-79,23;-79,-23;-35,-65;",1,8,"-30,0"
100000051,锯齿鲨,30,30,2,2,4,fishid51,4,fishdead_003.mp3,100,0,85,16,"135,0;16,-43;16,43;-140,0;",1,8,"0,0"
100000052,锤头鲨,40,40,2,3,4,fishid52,4,fishdead_006.mp3,100,0,84,17,"103,5;-38,-36;-129,-28;-131,19;-43,33;",1,8,"-38,0"
100000053,鲨鱼,45,45,2,3,4,fishid53,4,fishdead_007.mp3,100,0,83,18,"106,0;-48,43;-181,-2;-43,-45;",1,8,"0,0"
100000101,银鲨,50,50,3,4,4,fishid101,4,fishdead_005.mp3,100,0,82,19,"113,0;-50,-36;-150,-27;-152,27;-54,42;",1,8,"-45,10"
100000102,金鲨,60,60,3,4,4,fishid102,4,fishdead_004.mp3,100,0,81,20,"113,0;-50,-36;-150,-27;-152,27;-54,42;",1,8,"-45,10"
100000103,翻车鱼,80,80,3,4,4,fishid103,3,fishdead_009.mp3,100,2,80,21,"86,-80;112,0;82,77;-98,81;-138,33;-109,-56;",1,8,"0,0"
100000104,金钱龟,100,100,3,4,4,fishid104,3,fishdead_007.mp3,100,0,79,22,"80,0;41,56;-39,50;-96,0;-51,-47;25,-56;",1,8,"0,0"
100000105,发条鲸鱼,200,200,3,4,4,fishid105,4,fishdead_008.mp3,100,2,78,23,"125,-7;-8,45;-158,31;-157,-29;-45,-60;",1,8,"0,0"
100000151,金蟾蜍,300,300,3,4,4,fishid151,4,fishdead_010.mp3,100,0,77,24,"19,57;93,0;19,-58;-46,-58;-82,0;-46,56;",10,8,"0,0"
100000152,深海王鱿,400,400,5,5,4,fishid152,4,fishdead_010.mp3,100,1,30,25,"60,103;49,-74;16,-193;-51,-73;-75,101;",10,12,"0,0"
100000153,变异龙虾,500,500,5,5,4,fishid153,4,fishdead_010.mp3,100,2,29,26,"78,84;132,16;33,-48;-116,-20;-117,111;",10,12,"0,0"
100000154,水晶蟹王,600,600,5,4,4,fishid154,4,fishdead_010.mp3,100,1,28,27,"96,66;126,-35;8,-124;-109,-39;-81,69;",10,12,"0,21"
100000155,幽灵船,800,800,5,4,4,fishid155,4,fishdead_000.mp3,100,2,27,28,"202,146;240,-14;-40,-55;-150,39;-13,159;",10,12,"38,-38"
100000156,人鱼公主,1000,1000,5,5,4,fishid156,4,fishdead_001.mp3,100,0,26,29,"101,-9;-100,-30;-164,0;-98,25;",10,12,"-22,0"
100000157,八卦炉,0,0,10,6,4,fishid157,4,fishdead_001.mp3,100,1,25,30,"113,-51;-1,-112;-102,-85;-87,81;57,101;",10,12,"-22,0"
100000158,独角鲸皇,1500,1500,5,5,4,fishid158,4,fishdead_001.mp3,100,2,24,31,"200,0;-50,43;-100,-6;-41,-46;",10,12,"-22,0"
100000201,局部炸弹1,5,5,6,6,4,fishid201,4,fishdead_012.mp3,100,1,110,30,"63,3;29,-53;-35,-52;-67,0;-27,49;27,49;",0,8,"0,0"
100000202,局部炸弹2,5,5,6,4,4,fishid202,4,fishdead_012.mp3,100,1,110,31,"36,2;-4,43;-38,0;-5,-45;",0,8,"0,0"
100000203,局部炸弹3,5,5,6,4,4,fishid203,4,fishdead_012.mp3,100,0,110,32,,0,8,"0,0"
100000204,连锁闪电1,100,100,7,4,4,fishid204,4,lightning_01.mp3,100,2,110,33,"104,-3;100,23;-107,13;-78,-33;",0,8,"0,0"
100000205,连锁闪电2,100,100,7,4,4,fishid205,4,fishdead_012.mp3,100,0,110,34,,0,8,"0,0"
100000301,大三元,70,70,4,4,4,fishid301,4,fishdead_006.mp3,100,0,66,35,"90,0;0,46;-90,0;0,-46;",1,8,"0,0"
100000302,大四喜,120,120,4,4,4,fishid302,4,fishdead_007.mp3,100,0,65,36,"134,0;0,59;-134,0;0,-58;",1,8,"0,0"
100000303,五福临门,150,150,4,4,4,fishid303,4,fishdead_008.mp3,100,0,64,37,"85,-73;93,-5;91,71;-87,75;-117,-2;-86,-96;",1,8,"0,0"
100000304,组合鱼4,150,150,4,4,4,fishid304,4,0,0,0,63,38,,1,8,"0,0"
100000305,组合鱼5,180,180,4,4,4,fishid305,4,0,0,0,62,39,,1,8,"0,0"
100000401,同类炸弹1,2,2,8,3,4,fishid401,4,0,0,2,110,40,"9,-24;39,-2;-9,14;-41,1;-26,-13;",0,8,"0,0"
100000402,同类炸弹2,2,2,8,3,4,fishid402,4,0,0,0,110,41,"14,-20;13,11;-41,6;-40,-17;",0,8,"0,0"
100000403,同类炸弹3,3,3,8,3,4,fishid403,4,0,0,2,110,42,"4,16;25,3;17,-13;-11,-16;-28,5;",0,8,"0,0"
100000404,同类炸弹4,4,4,8,3,4,fishid404,4,0,0,0,110,43,"58,-2;-6,21;-45,2;-11,-23;",0,8,"0,0"
100000405,同类炸弹5,5,5,8,3,4,fishid405,4,0,0,2,110,44,"2,-28;36,-5;19,22;-13,30;-25,-27;-39,1;",0,8,"0,0"
100000406,同类炸弹6,2,2,8,3,4,fishid406,4,0,0,0,110,45,"42,0;-17,-19;-17,18;-49,0;",0,8,"0,0"
100000407,同类炸弹7,3,3,8,3,4,fishid407,4,0,0,0,110,46,,,,
100000501,宝箱鱼,100,100,9,3,4,fishid501,4,fishdead_012.mp3,100,2,110,47,"92,-23;89,47;-32,50;-115,11;-29,-58;",0,5,"0,0"
