索引=32(2位鱼线组号)（1位0~8客户端表/9服务端表）（1位序号）000 ,鱼id,帧,轨迹
id,fishid,frame,pathid
320101008,100000011,2,7777
320103470,100000008,9421,7779
320101494,100000007,11109,11126
320101550,100000005,12203,5552
320101064,100000008,1375,11122
320104203,100000012,6425,7770
320106068,100,1803,2047
320103120,100000011,2374,7770
320101000,100,0,2008
320106004,100000301,151,6662
320101486,100000007,11015,11126
320103370,100000007,7203,7775
320101001,100000051,1,12
320102511,100000007,11171,9993
320101154,100000014,2957,11
320106229,100000012,6901,6661
320103241,100000006,4859,11111
320101002,100000012,1,7773
320101003,100,1,2028
320101164,100000013,3224,11127
320102478,100000011,10406,9990
320101004,100000008,1,11112
320103431,100000010,8531,11111
320101005,100000013,2,3335
320106298,100000012,8976,7770
320101158,100000050,3002,7770
320102604,100000011,14120,11124
320101006,100000053,2,660
320101007,100000012,2,5550
320104276,100000008,8823,7774
320101485,100000011,10984,9990
320101152,100000008,2890,9993
320101009,100,2,2023
320104286,100000010,9156,7773
320106013,100000012,248,7773
320104133,100,4201,2052
320101162,100000012,3183,8881
320103130,100,2518,2053
320101010,100000006,4,7772
320106014,100000010,328,5554
320103388,100000010,7502,5550
320101011,100000007,131,7773
320103537,100000012,10502,7770
320101172,100,3601,2053
320101012,100000010,171,6661
320103133,100000010,2588,773
320101013,100000007,187,7773
320103286,100000009,5701,5553
320101166,100000011,3301,7779
320101014,100000007,187,7773
320101015,100000010,234,6661
320104107,100,3301,2031
320101493,100000007,11104,11127
320101160,100000052,3093,7775
320101016,100000007,250,7773
320101502,100000008,11328,7775
320106116,100000010,3578,5553
320102623,100000008,14668,6663
320101017,100000010,312,6661
320104125,100000010,3901,5553
320101170,100000012,3304,8880
320101018,100000004,352,11110
320101019,100000014,380,7770
320101180,100000008,3781,11123
320103251,100000011,5046,7773
320101020,100000010,390,6661
320101021,100000004,406,11110
320101174,100000013,3602,9991
320101022,100000011,423,9990
320102489,100000008,10502,330
320106268,100000050,8076,223
320101023,100000105,436,5551
320101501,100000008,11267,7775
320101168,100000009,3301,5552
320106235,100000012,6937,7770
320101024,100000004,460,11110
320106028,100,604,2055
320104148,100000011,4582,7777
320106379,100,11453,2000
320101382,100000010,8890,7776
320103523,100000005,10375,7771
320106278,100000014,8337,5553
320101025,100000012,461,12
320101178,100,3701,2044
320106125,100,3901,2009
320101026,100000010,468,6661
320101027,100000007,471,5552
320103148,100000013,3001,3334
320101028,100,481,2040
320102523,100000012,11401,6660
320101182,100000013,3832,7776
320101575,100000008,12820,11121
320103398,100000005,7718,8883
320101029,100000004,531,11110
320101568,100000010,12673,10
320106170,100,5083,2025
320103448,100000011,8968,9992
320103269,100,5401,2004
320101030,100000013,560,3334
320101031,100000004,593,11110
320101381,100,8855,2039
320101176,100000011,3625,7774
320101032,100000104,601,17
320104012,100000014,391,12
320101390,100000013,9017,7773
320101033,100,601,2048
320101034,100000008,601,4
320106038,100000011,1078,7776
320102517,100000014,11308,15
320104232,100000009,7371,8882
320101035,100000013,601,3335
320103012,100000012,136,5550
320105243,100000014,7063,11
320101036,100000012,601,7774
320101583,100000009,13109,11110
320101037,100000012,603,11123
320101576,100000010,12843,8883
320103158,100000008,3301,5551
320101038,100,603,2014
320101039,100,604,2035
320102601,100000012,14068,11110
320106380,100000012,11570,7772
320101389,100000010,9002,7776
320102514,100000007,11244,9993
320101040,100000007,609,881
320101398,100000012,9175,7770
320106140,100000013,4397,3334
320101041,100000014,615,7775
320101042,100000001,671,771
320101043,100000007,723,881
320101044,100000001,750,771
320101591,100000012,13218,221
320106057,100000008,1557,7779
320101045,100000011,807,11125
320103560,100000010,11203,881
320103381,100000008,7479,7778
320101584,100000010,13109,9993
320103022,100000007,375,5553
320105261,100000011,7657,9993
320101046,100000001,812,771
320103167,100000011,3593,11113
320101047,100000007,828,881
320106035,100000006,990,9990
320103517,100,10242,2011
320103184,100000007,3901,7770
320101397,100000008,9171,11111
320101048,100000013,869,9992
320101406,100000010,9301,11110
320103041,100000013,601,18
320101049,100000001,890,771
320103428,100000006,8402,11113
320101050,100000011,901,7772
320101051,100000012,902,7771
320101052,100000014,906,5550
320104089,100000050,2702,5553
320101599,100000008,13375,772
320101053,100000001,953,771
320102428,100000011,9109,9993
320106329,100000007,9902,5550
320101592,100000010,13234,9993
320101054,100000014,960,14
320103031,100,515,2054
320101055,100000001,1015,771
320101405,100000103,9301,5550
320103303,100000012,6001,6660
320101056,100000013,1159,5550
320102203,100000012,4201,7776
